election,state,APC,PDP
2015,Abia,13394,368303
2015,Adamawa,374701,251664
2015,Akwa Ibom,58411,953304
2015,Anambra,17926,660762
2015,Bauchi,931598,86085
2015,Bayelsa,5194,361209
2015,Benue,373961,303737
2015,Borno,473543,25640
2015,Cross River,28368,414863
2015,Delta,48910,1211405
2015,Ebonyi,19518,323653
2015,Edo,208469,286869
2015,Ekiti,120331,176466
2015,Enugu,14157,553003
2015,Gombe,361245,96873
2015,Imo,133253,559185
2015,Jigawa,885988,142904
2015,Kaduna,1127760,484085
2015,Kano,1903999,215779
2015,Katsina,1345441,98937
2015,Kebbi,567883,100972
2015,Kogi,264851,149987
2015,Kwara,302146,132602
2015,Lagos,792460,632327
2015,Nasarawa,236838,273460
2015,Niger,657678,149222
2015,Ogun,308290,207950
2015,Ondo,299889,251368
2015,Osun,383603,249929
2015,Oyo,528620,303376
2015,Plateau,429140,549615
2015,Rivers,69238,1487075
2015,Sokoto,671926,152199
2015,Taraba,261326,310800
2015,Yobe,446265,25526
2015,Zamfara,612202,144833
2015,FCT,146399,157195
