election,state,APC,PDP,LP,NNPP
2023,Ekiti,201494,89554,11397,264
2023,Kwara,263572,136909,31166,3142
2023,Osun,343945,354366,23283,713
2023,Ondo,369924,115463,44405,930
2023,Ogun,341554,123831,85829,2200
2023,Oyo,449884,182977,99110,4095
2023,Yobe,151459,198567,2406,18270
2023,Enugu,4772,15749,428640,1808
2023,Lagos,572606,75750,582454,8442
2023,Gombe,146977,319123,26160,10520
2023,Adamawa,182881,417611,105648,8006
2023,Katsina,482283,489045,6376,69386
2023,Jigawa,421390,386587,1889,98234
2023,Nasarawa,172922,147093,191361,12715
2023,Niger,375183,284898,80452,21836
2023,Benue,310468,130081,308372,4740
2023,FCT,90902,74194,281717,4517
2023,Akwa Ibom,160620,214012,132683,7796
2023,Edo,144471,89585,331163,2743
2023,Abia,8914,22676,327095,1239
2023,Kogi,240751,145104,56217,4238
2023,Bauchi,316694,426607,27373,72103
2023,Plateau,307195,243808,466272,8869
2023,Bayelsa,42572,68818,49975,540
2023,Kaduna,399293,554360,294494,92969
2023,Kebbi,248088,285175,10682,5038
2023,Kano,517341,131716,28513,997279
2023,Zamfara,298396,193978,1660,4044
2023,Sokoto,285444,288679,6568,1300
2023,Cross River,130520,95425,179917,1644
2023,Delta,90183,161600,341866,3122
2023,Ebonyi,42402,13503,259738,2661
2023,Anambra,5111,9036,584621,1967
2023,Taraba,135165,189017,146315,12818
2023,Borno,252282,190921,7205,4626
2023,Rivers,231591,88468,175071,1322
2023,Imo,66406,30234,360495,1552
